location_id,Category,name,also_known_as,week_days_opentime,weekdays_close_time,Saturday_open_time,saturday_close_time,sunday_holidays_open_time,Sunday_holidays_close_time,opening_hours_note,id_access_needed,additional_access_notes,campus,latitude,longitude,location_description,thumbnails_image,uoa_map_link
1,Library,Sir Duncan Rice Library,The New Library / SDR,8 am,10 pm,9 am,10 pm,11 am,10 pm,,YES,A Student ID card is required to enter the upper floor of the building.,Old Aberdeen,57.165445,-2.105843,"Opened in 2012 and named in honour of former Principal Sir Duncan Rice, the University's main library is a striking seven-storey cube clad in white and clear glass, designed by Schmidt Hammer Lassen and visible across the campus and city. It holds the modern collections plus a quarter of a million historic books and manuscripts, with study spaces, a ground-floor cafe and a public exhibition gallery.",images/locations/thumbnail_images/SirDuncanRice Library building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/112/
2,Teaching building,King's College,,9 am,5 pm,Closed,Closed,Closed,Closed,,NO,,Old Aberdeen,57.163796,-2.101192,"The historic heart of the University, King's College dates from around 1500 and is crowned by its distinctive Crown Tower. The quadrangle and surrounding buildings remain central to University life and ceremony.",images/locations/thumbnail_images/king's_college_building.png,https://www.abdn.ac.uk/about/campus/maps/view/46/
3,Teaching building,New King's,,9 am,5 pm,Closed,Closed,Closed,Closed,,NO,,Old Aberdeen,57.16493,-2.101532,"New King's sits on King's Lawn beside King's College Chapel and Elphinstone Hall, providing lecture and teaching space at the historic core of the Old Aberdeen campus.",images/locations/thumbnail_images/New_King's_College_Building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/36/
4,Cultural Space,King's College Chapel,,,,,,,,Open to visitors on weekdays; services held during term,NO,,Old Aberdeen,57.164161,-2.101269,"King's College Chapel, beneath the iconic Crown Tower, is one of the University's most historic and beautiful spaces. Dating from the early 16th century, the chapel sanctuary contains rare 16th- and 17th-century canvas and timber decoration. It is open to visitors on weekdays and holds regular services during term.",images/locations/thumbnail_images/Kings_college_chapel_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/117/
5,Conference / Events building,King's Conference Centre,KCCC,,,,,,,Open for booked events only — no fixed public hours,NO,,Old Aberdeen,57.163965,-2.100406,"Housed in the former University Library of 1870, King's Conference Centre was converted to its current use in 1991. Its largest venue, King's Auditorium, features stained-glass windows, a barrel-vaulted ceiling and a balcony, and meeting and syndicate rooms are available on the first floor.",images/locations/thumbnail_images/Kings_College_Auditorium.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/135/
6,Conference / Events building,Elphinstone Hall,,,,,,,,Open for booked events only — no fixed public hours,NO,,Old Aberdeen,57.164561,-2.100304,"Located by King's Lawn opposite the High Street, Elphinstone Hall was designed and built in 1930 by A. Marshall Mackenzie. One of the University's most recognisable buildings, it serves as a large examination hall and hosts graduation ceremonies, and can also be hired for dining and functions.",images\locations\thumbnail_images\Elphistone_Hall.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/23/
7,Teaching building,Taylor Building,,,,,,,,Varies by event,NO,,Old Aberdeen,57.165013,-2.100549,"The Taylor Building consists of four large blocks linked by an overhead walkway, spanning the site between the High Street and the Regent Building. It houses the University's language departments, the Law faculty, the Taylor Library, an IT training room and a number of classrooms. It opened in 1964 and commemorates Sir Thomas Murray Taylor, Professor of Law and Principal.",images\locations\thumbnail_images\taylor_building_bloca_a.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/19/
8,Social building,Students' Union Building,UoA Students' Union,9 am,21:00:00,Closed,Closed,Closed,Closed,,NO,,Old Aberdeen,57.166833,-2.104126,"An Â£8m dining, leisure and social facility south of St Machar Drive, the Students' Union Building houses a food court catering for up to 450 people, a shop and a cafe. It is home to the Aberdeen University Students' Association (AUSA), which runs over 120 societies, as well as the Careers and Employability Service and Student Advice & Support.",images/locations/thumbnail_images/Student_Union_Building_AUSA.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/53/
9,Student Services,Students Infohub,Infohub,10:00 am,13:00:00,Closed,Closed,Closed,Closed,,NO,,Old Aberdeen,57.166484,-2.102291,The Students' Infohub on the Old Aberdeen campus is the central point for student enquiries and support services.,images/locations/thumbnail_images/infohub_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/196/
10,Teaching building,MacRobert Building,,9 am,5 pm,Closed,Closed,Closed,Closed,,YES,ID access needed for some computer rooms. ,Old Aberdeen,57.166309,-2.098276,"Opened in 1967 and originally the Agriculture Building, the MacRobert Building was renamed to honour the MacRobert Trust following a Â£9m refurbishment. It houses the School of Education, the Elphinstone Institute, the Department of Music and the Business School, with its main entrance on the King Street side.",images/locations/thumbnail_images/mcrobert_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/31/
