location_id,sensory_attribute_id,location_rating,notes
1,1,4.5,
1,2,4,
1,3,3.5,
1,4,5,
1,5,3.5,
2,1,3,
2,2,4,
2,3,2.5,
2,4,4,
2,5,2,
3,1,3,
3,2,4,
3,3,3.5,
3,4,4,
3,5,4,
4,1,3,
4,2,2.5,
4,3,2.5,
4,4,3.5,
4,5,2.5,
5,1,3,
5,2,3.5,
5,3,2.5,
5,4,4,
5,5,4,
6,1,3,
6,2,4,
6,3,3.5,
6,4,3.5,
6,5,3.5,
7,1,3.5,
7,2,3.5,
7,3,3.5,
7,4,4,
7,5,3.5,
8,1,3,
8,2,1.5,
8,3,3.5,
8,4,4,
8,5,3.5,
9,1,3,
9,2,2.5,
9,3,3.5,
9,4,3.5,
9,5,2.5,
10,1,2,
10,2,3,
10,3,2,
10,4,3.5,
10,5,3,
11,1,2.5,
11,2,1.5,
11,3,2,
11,4,1.5,
11,5,2,
12,1,3,
12,2,3,
12,3,2.5,
12,4,3.5,
12,5,3,
13,1,,
13,2,,
13,3,,
13,4,,
13,5,,
14,1,2.5,
14,2,2.5,
14,3,3.5,
14,4,3.5,
14,5,3,
15,1,1.5,
15,2,1.5,
15,3,1,
15,4,1.5,
15,5,1,
16,1,3,
16,2,1.5,
16,3,3.5,
16,4,3.5,
16,5,3.5,
17,1,3,
17,2,2.5,
17,3,2.5,
17,4,3,
17,5,3.5,
18,1,1.5,
18,2,1.5,
18,3,1,
18,4,1,
18,5,1,
19,1,2.5,
19,2,2.5,
19,3,2,
19,4,3.5,
19,5,2.5,
20,1,2,
20,2,3.5,
20,3,3,
20,4,3,
20,5,3.5,
21,1,3.5,
21,2,3.5,
21,3,3,
21,4,4,
21,5,3.5,
22,1,1,
22,2,2.5,
22,3,1.5,
22,4,2.5,
22,5,2,
23,1,2,
23,2,1.5,
23,3,1.5,
23,4,1.5,
23,5,1.5,
24,1,,
24,2,,
24,3,,
24,4,,
24,5,,
25,1,1.5,
25,2,1.5,
25,3,1,
25,4,1,
25,5,1,
26,1,,
26,2,,
26,3,,
26,4,,
26,5,,
27,1,3.5,
27,2,3.5,
27,3,2.5,
27,4,2.5,
27,5,3,
28,1,3.5,
28,2,3.5,
28,3,4,
28,4,5,
28,5,4,
29,1,2,
29,2,2,
29,3,1.5,
29,4,2,
29,5,1.5,
30,1,3.5,
30,2,3.5,
30,3,2.5,
30,4,4.5,
30,5,2.5,
31,1,,
31,2,,
31,3,,
31,4,,
31,5,,
32,1,,
32,2,,
32,3,,
32,4,,
32,5,,
33,1,,
33,2,,
33,3,,
33,4,,
33,5,,
34,1,,
34,2,,
34,3,,
34,4,,
34,5,,
35,1,3,
35,2,3,
35,3,3,
35,4,3,
35,5,3,
36,1,2.5,
36,2,2.5,
36,3,3,
36,4,2.5,
36,5,2.5,
37,1,3,
37,2,3.5,
37,3,3.5,
37,4,4,
37,5,3.5,
38,1,3.5,
38,2,3.5,
38,3,2.5,
38,4,3.5,
38,5,3.5,
39,1,2.5,
39,2,2.5,
39,3,1.5,
39,4,2.5,
39,5,1.5,
40,1,2.5,
40,2,3.5,
40,3,2.5,
40,4,3,
40,5,2,
