space_id,facility_id,status,notes
1,1,TRUE,Seating is available for users within this space.
1,2,TRUE,Power sockets are available for charging electronic devices.
1,3,TRUE,Food and drink are permitted or available in this space.
1,4,FALSE,No kettle is provided in this space.
1,5,FALSE,No microwave is available in this space.
1,6,TRUE,Toilet facilities are available nearby or within this space.
1,7,TRUE,An accessible toilet is available for wheelchair users.
1,8,TRUE,The space has wheelchair-accessible access from outside the building.
1,9,TRUE,Step-free access is available throughout the space.
1,10,TRUE,Accessible parking spaces are available nearby.
2,1,TRUE,Seating is available for users within this space.
2,2,TRUE,Power sockets are available for charging electronic devices.
2,3,TRUE,Food and drink are permitted or available in this space.
2,4,FALSE,No kettle is provided in this space.
2,5,FALSE,No microwave is available in this space.
2,6,TRUE,Toilet facilities are available nearby or within this space.
2,7,TRUE,An accessible toilet is available for wheelchair users.
2,8,TRUE,The space has wheelchair-accessible access from outside the building.
2,9,FALSE,Step-free access is not available throughout the space.
2,10,FALSE,No accessible parking is available nearby.
3,1,TRUE ,Seating is available for users within this space.
3,2,TRUE,Power sockets are available for charging electronic devices.
3,3,FALSE,Food and drink facilities are not available in this space.
3,4,FALSE,No kettle is provided in this space.
3,5,FALSE,No microwave is available in this space.
3,6,TRUE,Toilet facilities are available nearby or within this space.
3,7,TRUE,An accessible toilet is available for wheelchair users.
3,8,TRUE,The space has wheelchair-accessible access from outside the building.
3,9,TRUE,Step-free access is available throughout the space.
3,10,FALSE,No accessible parking is available nearby.
4,1,TRUE,Seating is available for users within this space.
4,2,FALSE,No power sockets are available in this space.
4,3,FALSE,Food and drink facilities are not available in this space.
4,4,FALSE,No kettle is provided in this space.
4,5,FALSE,No microwave is available in this space.
4,6,FALSE,No toilet facilities are available within this space.
4,7,FALSE,No accessible toilet is available.
4,8,FALSE,Outside wheelchair access is limited or unavailable.
4,9,TRUE,Step-free access is available throughout the space.
4,10,FALSE,No accessible parking is available nearby.
5,1,TRUE,Seating is available for users within this space.
5,2,TRUE,Power sockets are available for charging electronic devices.
5,3,FALSE,Food and drink facilities are not available in this space. 
5,4,FALSE,No kettle is provided in this space.
5,5,FALSE,No microwave is available in this space.
5,6,FALSE,No toilet facilities are available within this space.
5,7,FALSE,No accessible toilet is available.
5,8,TRUE,The space has wheelchair-accessible access from outside the building.
5,9,TRUE,Step-free access is available throughout the space.
5,10,FALSE,No accessible parking is available nearby.
6,1,TRUE,Seating is available for users within this space.
6,2,FALSE,No power sockets are available in this space.
6,3,FALSE,Food and drink facilities are not available in this space.
6,4,FALSE,No kettle is provided in this space.
6,5,FALSE,No microwave is available in this space.
6,6,TRUE,Toilet facilities are available nearby or within this space.
6,7,TRUE,An accessible toilet is available for wheelchair users.
6,8,TRUE,The space has wheelchair-accessible access from outside the building.
6,9,FALSE,Step-free access is not available throughout the space.
6,10,FALSE,No accessible parking is available nearby.
7,1,TRUE,Seating is available for users within this space.
7,2,TRUE,Power sockets are available for charging electronic devices.
7,3,TRUE,Food and drink are permitted or available in this space.
7,4,TRUE,A kettle is provided for preparing hot drinks.
7,5,FALSE,No microwave is available in this space.
7,6,TRUE,Toilet facilities are available nearby or within this space.
7,7,TRUE,An accessible toilet is available for wheelchair users.
7,8,TRUE,The space has wheelchair-accessible access from outside the building.
7,9,TRUE,Step-free access is available throughout the space.
7,10,TRUE,Accessible parking spaces are available nearby.
8,1,TRUE,Seating is available for users within this space.
8,2,TRUE,Power sockets are available for charging electronic devices.
8,3,FALSE,Food and drink facilities are not available in this space.
8,4,FALSE,No kettle is provided in this space.
8,5,FALSE,No microwave is available in this space.
8,6,TRUE,Toilet facilities are available nearby or within this space.
8,7,TRUE,An accessible toilet is available for wheelchair users.
8,8,TRUE,The space has wheelchair-accessible access from outside the building.
8,9,TRUE,Step-free access is available throughout the space.
8,10,TRUE,Accessible parking spaces are available nearby.
9,1,TRUE,Seating is available for users within this space.
9,2,TRUE,Power sockets are available for charging electronic devices.
9,3,TRUE,Food and drink are permitted or available in this space.
9,4,TRUE,A kettle is provided for preparing hot drinks.
9,5,TRUE,A microwave is available for heating food.
9,6,TRUE,Toilet facilities are available nearby or within this space.
9,7,TRUE,An accessible toilet is available for wheelchair users.
9,8,TRUE,The space has wheelchair-accessible access from outside the building.
9,9,TRUE,Step-free access is available throughout the space.
9,10,TRUE,Accessible parking spaces are available nearby.
10,1,TRUE,Seating is available for users within this space.
10,2,FALSE,No power sockets are available in this space.
10,3,FALSE,Food and drink facilities are not available in this space.
10,4,FALSE,No kettle is provided in this space.
10,5,FALSE,No microwave is available in this space.
10,6,TRUE,Toilet facilities are available nearby or within this space.
10,7,TRUE,An accessible toilet is available for wheelchair users.
10,8,TRUE,The space has wheelchair-accessible access from outside the building.
10,9,TRUE,Step-free access is available throughout the space.
10,10,FALSE,No accessible parking is available nearby.
11,1,TRUE,Seating is available for users within this space.
11,2,TRUE,Power sockets are available for charging electronic devices.
11,3,TRUE,Food and drink are permitted or available in this space.
11,4,FALSE,No kettle is provided in this space.
11,5,FALSE,No microwave is available in this space.
11,6,TRUE,Toilet facilities are available nearby or within this space.
11,7,TRUE,An accessible toilet is available for wheelchair users.
11,8,TRUE,The space has wheelchair-accessible access from outside the building.
11,9,TRUE,Step-free access is available throughout the space.
11,10,TRUE,Accessible parking spaces are available nearby.
12,1,TRUE,Seating is available for users within this space.
12,2,TRUE,Power sockets are available for charging electronic devices.
12,3,FALSE,Food and drink facilities are not available in this space.
12,4,FALSE,No kettle is provided in this space.
12,5,FALSE,No microwave is available in this space.
12,6,TRUE,Toilet facilities are available nearby or within this space.
12,7,TRUE,An accessible toilet is available for wheelchair users.
12,8,TRUE,The space has wheelchair-accessible access from outside the building.
12,9,TRUE,Step-free access is available throughout the space.
12,10,TRUE,Accessible parking spaces are available nearby.
13,1,TRUE,Seating is available for users within this space.
13,2,TRUE,Power sockets are available for charging electronic devices.
13,3,TRUE,Food and drink are permitted or available in this space.
13,4,FALSE,No kettle is provided in this space.
13,5,FALSE,No microwave is available in this space.
13,6,TRUE,Toilet facilities are available nearby or within this space.
13,7,TRUE,An accessible toilet is available for wheelchair users.
13,8,TRUE,The space has wheelchair-accessible access from outside the building.
13,9,TRUE,Step-free access is available throughout the space.
13,10,TRUE,Accessible parking spaces are available nearby.
14,1,TRUE,Seating is available for users within this space.
14,2,TRUE,Power sockets are available for charging electronic devices.
14,3,FALSE,Food and drink facilities are not available in this space.
14,4,FALSE,No kettle is provided in this space.
14,5,FALSE,No microwave is available in this space.
14,6,TRUE,Toilet facilities are available nearby or within this space.
