location_id,space_id,sensory_attribute_id,space_rating,notes
1,1,1,2,
1,1,2,3,
1,1,3,4,
1,1,4,4.5,
1,1,5,3,
1,2,1,3,
1,2,2,4,
1,2,3,4.5,
1,2,4,5,
1,2,5,4,
1,3,1,3,
1,3,2,4,
1,3,3,4,
1,3,4,5,
1,3,5,4,
1,4,1,3.5,
1,4,2,4,
1,4,3,4,
1,4,4,5,
1,4,5,4.5,
1,5,1,4,
1,5,2,4,
1,5,3,4,
1,5,4,5,
1,5,5,4.5,
1,6,1,4.5,
1,6,2,4,
1,6,3,4,
1,6,4,5,
1,6,5,4.5,
1,7,1,5,
1,7,2,4,
1,7,3,4,
1,7,4,5,
1,7,5,5,
1,8,1,5,
1,8,2,4,
1,8,3,4,
1,8,4,5,
1,8,5,5,
1,9,1,4,
1,9,2,4.5,
1,9,3,4,
1,9,4,5,
1,9,5,4,
2,10,1,3.5,
2,10,2,4,
2,10,3,3,
2,10,4,4.5,
2,10,5,3.5,
6,11,1,4,
6,11,2,3,
6,11,3,3.5,
6,11,4,4,
6,11,5,3.5,
7,12,1,3,
7,12,2,3.5,
7,12,3,3.5,
7,12,4,4,
7,12,5,3,
7,13,1,4.5,
7,13,2,4,
7,13,3,3.5,
7,13,4,4.5,
7,13,5,4.5,
8,14,1,2.5,
8,14,2,2.5,
8,14,3,3.5,
8,14,4,4,
8,14,5,2.5,
10,15,1,2,
10,15,2,3.5,
10,15,3,3,
10,15,4,3.5,
10,15,5,2.5,
12,16,1,3,
12,16,2,3.5,
12,16,3,3,
12,16,4,3.5,
12,16,5,3,
14,17,1,3,
14,17,2,2.5,
14,17,3,3.5,
14,17,4,3.5,
14,17,5,3,
18,18,1,4,
18,18,2,3,
18,18,3,2,
18,18,4,2.5,
18,18,5,3,
19,19,1,4,
19,19,2,3.5,
19,19,3,3,
19,19,4,4,
19,19,5,3.5,
8,20,1,4.5,
8,20,2,3.5,
8,20,3,4,
8,20,4,4.5,
8,20,5,4.5,
12,21,1,4.5,
12,21,2,4,
12,21,3,3.5,
12,21,4,4.5,
12,21,5,4.5,
18,22,1,2.5,
18,22,2,3.5,
18,22,3,2.5,
18,22,4,2.5,
18,22,5,2.5,
12,23,1,4.5,
12,23,2,4.5,
12,23,3,3.5,
12,23,4,4.5,
12,23,5,4,
8,24,1,1.5,
8,24,2,2.5,
8,24,3,3.5,
8,24,4,3.5,
8,24,5,2,
8,25,1,4.5,
8,25,2,3.5,
8,25,3,4,
8,25,4,4.5,
8,25,5,4.5,
8,26,1,2,
8,26,2,2.5,
8,26,3,3,
8,26,4,3.5,
8,26,5,2,
8,27,1,2.5,
8,27,2,2.5,
8,27,3,4,
8,27,4,4,
8,27,5,3,
24,28,1,5,
24,28,2,4.5,
24,28,3,4.5,
24,28,4,4.5,
24,28,5,4.5,
11,29,1,3,
11,29,2,4,
11,29,3,4,
11,29,4,3,
11,29,5,3.5,
11,30,1,4,
11,30,2,4,
11,30,3,4,
11,30,4,4,
11,30,5,4.5,
11,31,1,2.5,
11,31,2,3.5,
11,31,3,3.5,
11,31,4,3,
11,31,5,3,
1,32,1,3.5,
1,32,2,3.5,
1,32,3,4.5,
1,32,4,5,
1,32,5,4,
1,33,1,4,
1,33,2,4.5,
1,33,3,4.5,
1,33,4,5,
1,33,5,4.5,
8,34,1,2.5,
8,34,2,3.5,
8,34,3,4,
8,34,4,4,
8,34,5,3,
7,35,1,4.5,
7,35,2,4.5,
7,35,3,4,
7,35,4,4.5,
7,35,5,4,
19,36,1,3,
19,36,2,3.5,
19,36,3,4.5,
19,36,4,4,
19,36,5,3.5,
40,37,1,4.5,
40,37,2,4.5,
40,37,3,4,
40,37,4,4,
40,37,5,4,
